id,problem_name,,explanation,output,original_code,13,comment_less_code
41,C Program to Convert Octal Number to Decimal and vice-versa,59,"To understand this example, you should have the knowledge of the following https://www.programiz.com/c-programming topics:
• https://www.programiz.com/c-programming/c-functions
• https://www.programiz.com/c-programming/c-user-defined-functions","Enter a decimal number: 78
78 in decimal = 116 in octal","#include <stdio.h>
#include <math.h>

// function prototype
int convertDecimalToOctal(int decimalNumber);

int main() {

    int decimalNumber;

    printf(""Enter a decimal number: "");
    scanf(""%d"", &decimalNumber);

    printf(""%d in decimal = %d in octal"", decimalNumber, convertDecimalToOctal(decimalNumber));

    return 0;
}

// function to convert decimalNumber to octal
int convertDecimalToOctal(int decimalNumber) {
    int octalNumber = 0, i = 1;

    while (decimalNumber != 0) {
        octalNumber += (decimalNumber % 8) * i;
        decimalNumber /= 8;
        i *= 10;
    }

    return octalNumber;
}",617,"#include <stdio.h>
#include <math.h>

int convertDecimalToOctal(int decimalNumber);

int main() {

    int decimalNumber;

    printf(""Enter a decimal number: "");
    scanf(""%d"", &decimalNumber);

    printf(""%d in decimal = %d in octal"", decimalNumber, convertDecimalToOctal(decimalNumber));

    return 0;
}

int convertDecimalToOctal(int decimalNumber) {
    int octalNumber = 0, i = 1;

    while (decimalNumber != 0) {
        octalNumber += (decimalNumber % 8) * i;
        decimalNumber /= 8;
        i *= 10;
    }

    return octalNumber;
}"
42,C Program to Convert Binary Number to Octal and vice-versa,58,"To understand this example, you should have the knowledge of the following https://www.programiz.com/c-programming topics:
• https://www.programiz.com/c-programming/c-functions
• https://www.programiz.com/c-programming/c-user-defined-functions
Program to Convert Binary to Octal
In this program, we will first convert a binary number to decimal. Then, the decimal number is converted to octal.","Enter a binary number: 101001
101001 in binary = 51 in octal","#include <math.h>
#include <stdio.h>
int convert(long long bin);
int main() {
    long long bin;
    printf(""Enter a binary number: "");
    scanf(""%lld"", &bin);
    printf(""%lld in binary = %d in octal"", bin, convert(bin));
    return 0;
}

int convert(long long bin) {
    int oct = 0, dec = 0, i = 0;

    // converting binary to decimal
    while (bin != 0) {
        dec += (bin % 10) * pow(2, i);
        ++i;
        bin /= 10;
    }
    i = 1;

    // converting to decimal to octal
    while (dec != 0) {
        oct += (dec % 8) * i;
        dec /= 8;
        i *= 10;
    }
    return oct;
}",601,"#include <math.h>
#include <stdio.h>

int convert(long long bin);

int main() {
    long long bin;
    printf(""Enter a binary number: "");
    scanf(""%lld"", &bin);
    printf(""%lld in binary = %d in octal"", bin, convert(bin));
    return 0;
}

int convert(long long bin) {
    int oct = 0, dec = 0, i = 0;

    while (bin != 0) {
        dec += (bin % 10) * pow(2, i);
        ++i;
        bin /= 10;
    }
    i = 1;

    while (dec != 0) {
        oct += (dec % 8) * i;
        dec /= 8;
        i *= 10;
    }
    return oct;
}"
43,C Program to Reverse a Sentence Using Recursion,47,"To understand this example, you should have the knowledge of the following https://www.programiz.com/c-programming topics:
• https://www.programiz.com/c-programming/c-functions
• https://www.programiz.com/c-programming/c-user-defined-functions
• https://www.programiz.com/c-programming/c-recursion

This program first prints Enter a sentence: . Then, the reverseSentence() function is called.
This function stores the first letter entered by the user in c. If the variable is any character other than \n (newline), reverseSentence() is called again.
This process goes on until the user hits enter.
When the user hits enter, the reverseSentence() function starts printing characters from last.","Enter a sentence: margorp emosewa
awesome program","#include <stdio.h>
void reverseSentence();
int main() {
    printf(""Enter a sentence: "");
    reverseSentence();
    return 0;
}

void reverseSentence() {
    char c;
    scanf(""%c"", &c);
    if (c != '\n') {
        reverseSentence();
        printf(""%c"", c);
    }
}",268,"#include <stdio.h>
void reverseSentence();
int main() {
    printf(""Enter a sentence: "");
    reverseSentence();
    return 0;
}

void reverseSentence() {
    char c;
    scanf(""%c"", &c);
    if (c != '\n') {
        reverseSentence();
        printf(""%c"", c);
    }
}"
44,C program to calculate the power using recursion,48,"To understand this example, you should have the knowledge of the following https://www.programiz.com/c-programming topics:
• https://www.programiz.com/c-programming/c-functions
• https://www.programiz.com/c-programming/c-user-defined-functions
• https://www.programiz.com/c-programming/c-recursion

You can also https://www.programiz.com/c-programming/examples/power-number.

If you need to calculate the power of a number raised to a decimal value, you can use the https://www.programiz.com/c-programming/library-function/math.h/pow.","Enter base number: 3
Enter power number(positive integer): 4
3^4 = 81","#include <stdio.h>
int power(int n1, int n2);
int main() {
int base, a, result;
printf(""Enter base number: "");
scanf(""%d"", &base);
printf(""Enter power number(positive integer): "");
scanf(""%d"", &a);
result = power(base, a);
printf(""%d^%d = %d"", base, a, result);
return 0;
}
int power(int base, int a) {
if (a != 0)
return (base * power(base, a - 1));
else
return 1;
}",367,"#include <stdio.h>
int power(int n1, int n2);
int main() {
int base, a, result;
printf(""Enter base number: "");
scanf(""%d"", &base);
printf(""Enter power number(positive integer): "");
scanf(""%d"", &a);
result = power(base, a);
printf(""%d^%d = %d"", base, a, result);
return 0;
}
int power(int base, int a) {
if (a != 0)
return (base * power(base, a - 1));
else
return 1;
}"
45,C Program to Calculate Average Using Arrays,43,"To understand this example, you should have the knowledge of the following https://www.programiz.com/c-programming topics:
• https://www.programiz.com/c-programming/c-do-while-loops
• https://www.programiz.com/c-programming/c-for-loop
• https://www.programiz.com/c-programming/c-arrays

Here, the user is first asked to enter the number of elements. This number is assigned to n.
If the user entered integer is greater less than 1 or greater than 100, the user is asked to enter the number again. This is done using a while loop.

Then, we have iterated a for loop from i = 0 to i . In each iteration of the loop, the user is asked to enter numbers to calculate the average. These numbers are stored in the num[] array.

scanf(""%f"", &num[i]);

And, the sum of each entered element is computed.

sum += num[i];

Once the for loop is completed, the average is calculated and printed on the screen.","Enter the numbers of elements: 6
1. Enter number: 45.3
2. Enter number: 67.5
3. Enter number: -45.6
4. Enter number: 20.34
5. Enter number: 33
6. Enter number: 45.6
Average = 27.69","#include <stdio.h>
int main() {
int n, i;
float num[100], sum = 0.0, avg;
printf(""Enter the numbers of elements: "");
scanf(""%d"", &n);
while (n > 100 || n < 1) {
printf(""Error! number should in range of (1 to 100).\n"");
printf(""Enter the number again: "");
scanf(""%d"", &n);
}
for (i = 0; i < n; ++i) {
printf(""%d. Enter number: "", i + 1);
scanf(""%f"", &num[i]);
sum += num[i];
}
avg = sum / n;
printf(""Average = %.2f"", avg);
return 0;
}",433,"#include <stdio.h>
int main() {
int n, i;
float num[100], sum = 0.0, avg;
printf(""Enter the numbers of elements: "");
scanf(""%d"", &n);
while (n > 100 || n < 1) {
printf(""Error! number should in range of (1 to 100).\n"");
printf(""Enter the number again: "");
scanf(""%d"", &n);
}
for (i = 0; i < n; ++i) {
printf(""%d. Enter number: "", i + 1);
scanf(""%f"", &num[i]);
sum += num[i];
}
avg = sum / n;
printf(""Average = %.2f"", avg);
return 0;
}"
46,C Program to Find Largest Element in an Array,45,"To understand this example, you should have the knowledge of the following https://www.programiz.com/c-programming topics:
• https://www.programiz.com/c-programming/c-for-loop
• https://www.programiz.com/c-programming/c-arrays

This program takes n number of elements from the user and stores it in the arr array.

To find the largest element,
• the first two elements of array are checked and the largest of these two elements are placed in arr[0]
• the first and third elements are checked and largest of these two elements is placed in arr[0].
• this process continues until the first and last elements are checked
• the largest number will be stored in the arr[0] position

// storing the largest number at arr[0]
for (int i = 1; i < n; ++i) {
  if (arr[0] < arr[i]) {
    arr[0] = arr[i];
  }
}","Enter the number of elements (1 to 100): 5
Enter number1: 34.5
Enter number2: 2.4
Enter number3: -35.5
Enter number4: 38.7
Enter number5: 24.5
Largest element = 38.70","#include <stdio.h>
int main() {
  int n;
  double arr[100];
  printf(""Enter the number of elements (1 to 100): "");
  scanf(""%d"", &n);

  for (int i = 0; i < n; ++i) {
    printf(""Enter number%d: "", i + 1);
    scanf(""%lf"", &arr[i]);
  }

  // storing the largest number to arr[0]
  for (int i = 1; i < n; ++i) {
    if (arr[0] < arr[i]) {
      arr[0] = arr[i];
    }
  }

  printf(""Largest element = %.2lf"", arr[0]);

  return 0;
}",432,"#include <stdio.h>
int main() {
  int n;
  double arr[100];
  printf(""Enter the number of elements (1 to 100): "");
  scanf(""%d"", &n);

  for (int i = 0; i < n; ++i) {
    printf(""Enter number%d: "", i + 1);
    scanf(""%lf"", &arr[i]);
  }

  for (int i = 1; i < n; ++i) {
    if (arr[0] < arr[i]) {
      arr[0] = arr[i];
    }
  }

  printf(""Largest element = %.2lf"", arr[0]);

  return 0;
}"
47,C Program to Calculate Standard Deviation,41,"To understand this example, you should have the knowledge of the following https://www.programiz.com/c-programming topics:
• https://www.programiz.com/c-programming/c-arrays
• https://www.programiz.com/c-programming/c-arrays-functions
This program calculates the standard deviation of an individual series using arrays. Visit this page to learn about https://www.mathsisfun.com/data/standard-deviation.html.
To calculate the standard deviation, we have created a function named calculateSD().

Here, the array containing 10 elements is passed to the calculateSD() function. The function calculates the standard deviation using mean and returns it.
Note: The program calculates the standard deviation of a population. If you need to find the standard deviation of a sample, the formula is slightly different.","Enter 10 elements: 1
2
3
4
5
6
7
8
9
10

Standard Deviation = 2.872281","// SD of a population
#include <math.h>
#include <stdio.h>
float calculateSD(float data[]);
int main() {
int i;
float data[10];
printf(""Enter 10 elements: "");
for (i = 0; i < 10; ++i)
scanf(""%f"", &data[i]);
printf(""\nStandard Deviation = %.6f"", calculateSD(data));
return 0;
}
float calculateSD(float data[]) {
float sum = 0.0, mean, SD = 0.0;
int i;
for (i = 0; i < 10; ++i) {
sum += data[i];
}
mean = sum / 10;
for (i = 0; i < 10; ++i) {
SD += pow(data[i] - mean, 2);
}
return sqrt(SD / 10);
}",495,"#include <math.h>
#include <stdio.h>
float calculateSD(float data[]);

int main() {
    int i;
    float data[10];
    printf(""Enter 10 elements: "");
    for (i = 0; i < 10; ++i)
        scanf(""%f"", &data[i]);
    printf(""\nStandard Deviation = %.6f"", calculateSD(data));
    return 0;
}

float calculateSD(float data[]) {
    float sum = 0.0, mean, SD = 0.0;
    int i;
    for (i = 0; i < 10; ++i) {
        sum += data[i];
    }
    mean = sum / 10;
    for (i = 0; i < 10; ++i) {
        SD += pow(data[i] - mean, 2);
    }
    return sqrt(SD / 10);
}"
48,C Program to Add Two Matrices Using Multi-dimensional Arrays,60,"To understand this example, you should have the knowledge of the following https://www.programiz.com/c-programming topics:
• https://www.programiz.com/c-programming/c-arrays
• https://www.programiz.com/c-programming/c-multi-dimensional-arrays

In this program, the user is asked to enter the number of rows r and columns c. Then, the user is asked to enter the elements of the two matrices (of order rxc).

We then added corresponding elements of two matrices and saved it in another matrix (two-dimensional array). Finally, the result is printed on the screen.","Enter the number of rows (between 1 and 100): 2
Enter the number of columns (between 1 and 100): 3

Enter elements of 1st matrix:
Enter element a11: 2
Enter element a12: 3
Enter element a13: 4
Enter element a21: 5
Enter element a22: 2
Enter element a23: 3
Enter elements of 2nd matrix:
Enter element b11: -4
Enter element b12: 5
Enter element b13: 3
Enter element b21: 5
Enter element b22: 6
Enter element b23: 3

Sum of two matrices: 
-2   8   7","#include <stdio.h>
int main() {
  int r, c, a[100][100], b[100][100], sum[100][100], i, j;
  printf(""Enter the number of rows (between 1 and 100): "");
  scanf(""%d"", &r);
  printf(""Enter the number of columns (between 1 and 100): "");
  scanf(""%d"", &c);

  printf(""\nEnter elements of 1st matrix:\n"");
  for (i = 0; i < r; ++i)
    for (j = 0; j < c; ++j) {
      printf(""Enter element a%d%d: "", i + 1, j + 1);
      scanf(""%d"", &a[i][j]);
    }

  printf(""Enter elements of 2nd matrix:\n"");
  for (i = 0; i < r; ++i)
    for (j = 0; j < c; ++j) {
      printf(""Enter element b%d%d: "", i + 1, j + 1);
      scanf(""%d"", &b[i][j]);
    }

  // adding two matrices
  for (i = 0; i < r; ++i)
    for (j = 0; j < c; ++j) {
      sum[i][j] = a[i][j] + b[i][j];
    }

  // printing the result
  printf(""\nSum of two matrices: \n"");
  for (i = 0; i < r; ++i)
    for (j = 0; j < c; ++j) {
      printf(""%d   "", sum[i][j]);
      if (j == c - 1) {
        printf(""\n\n"");
      }
    }

  return 0;
}",990,"#include <stdio.h>
int main() {
  int r, c, a[100][100], b[100][100], sum[100][100], i, j;
  printf(""Enter the number of rows (between 1 and 100): "");
  scanf(""%d"", &r);
  printf(""Enter the number of columns (between 1 and 100): "");
  scanf(""%d"", &c);

  printf(""\nEnter elements of 1st matrix:\n"");
  for (i = 0; i < r; ++i)
    for (j = 0; j < c; ++j) {
      printf(""Enter element a%d%d: "", i + 1, j + 1);
      scanf(""%d"", &a[i][j]);
    }

  printf(""Enter elements of 2nd matrix:\n"");
  for (i = 0; i < r; ++i)
    for (j = 0; j < c; ++j) {
      printf(""Enter element b%d%d: "", i + 1, j + 1);
      scanf(""%d"", &b[i][j]);
    }

  for (i = 0; i < r; ++i)
    for (j = 0; j < c; ++j) {
      sum[i][j] = a[i][j] + b[i][j];
    }

  printf(""\nSum of two matrices: \n"");
  for (i = 0; i < r; ++i)
    for (j = 0; j < c; ++j) {
      printf(""%d   "", sum[i][j]);
      if (j == c - 1) {
        printf(""\n\n"");
      }
    }

  return 0;
}"
49,C Program to Multiply Two Matrices Using Multi-dimensional Arrays,65,"To understand this example, you should have the knowledge of the following C programming topics:

C Arrays
C Multidimensional Arrays
This program asks the user to enter the size (rows and columns) of two matrices.

To multiply two matrices, the number of columns of the first matrix should be equal to the number of rows of the second matrix.

The program below asks for the number of rows and columns of two matrices until the above condition is satisfied.

Then, the multiplication of two matrices is performed, and the result is displayed on the screen.

To perform this, we have created three functions:

getMatrixElements() - to take matrix elements input from the user.
multiplyMatrices() - to multiply two matrices.
display() - to display the resultant matrix after multiplication.",,"#include <stdio.h>

// function to get matrix elements entered by the user
void getMatrixElements(int matrix[][10], int row, int column) {

   printf(""\nEnter elements: \n"");

   for (int i = 0; i < row; ++i) {
      for (int j = 0; j < column; ++j) {
         printf(""Enter a%d%d: "", i + 1, j + 1);
         scanf(""%d"", &matrix[i][j]);
      }
   }
}

// function to multiply two matrices
void multiplyMatrices(int first[][10],
                      int second[][10],
                      int result[][10],
                      int r1, int c1, int r2, int c2) {

   // Initializing elements of matrix mult to 0.
   for (int i = 0; i < r1; ++i) {
      for (int j = 0; j < c2; ++j) {
         result[i][j] = 0;
      }
   }

   // Multiplying first and second matrices and storing it in result
   for (int i = 0; i < r1; ++i) {
      for (int j = 0; j < c2; ++j) {
         for (int k = 0; k < c1; ++k) {
            result[i][j] += first[i][k] * second[k][j];
         }
      }
   }
}

// function to display the matrix
void display(int result[][10], int row, int column) {

   printf(""\nOutput Matrix:\n"");
   for (int i = 0; i < row; ++i) {
      for (int j = 0; j < column; ++j) {
         printf(""%d  "", result[i][j]);
         if (j == column - 1)
            printf(""\n"");
      }
   }
}

int main() {
   int first[10][10], second[10][10], result[10][10], r1, c1, r2, c2;
   printf(""Enter rows and column for the first matrix: "");
   scanf(""%d %d"", &r1, &c1);
   printf(""Enter rows and column for the second matrix: "");
   scanf(""%d %d"", &r2, &c2);

   // Taking input until
   // 1st matrix columns is not equal to 2nd matrix row
   while (c1 != r2) {
      printf(""Error! Enter rows and columns again.\n"");
      printf(""Enter rows and columns for the first matrix: "");
      scanf(""%d%d"", &r1, &c1);
      printf(""Enter rows and columns for the second matrix: "");
      scanf(""%d%d"", &r2, &c2);
   }

   // get elements of the first matrix
   getMatrixElements(first, r1, c1);

   // get elements of the second matrix
   getMatrixElements(second, r2, c2);

   // multiply two matrices.
   multiplyMatrices(first, second, result, r1, c1, r2, c2);

   // display the result
   display(result, r1, c2);

   return 0;
}",2228,"#include <stdio.h>

void getMatrixElements(int matrix[][10], int row, int column) {
   printf(""\nEnter elements:\n"");
   for (int i = 0; i < row; ++i) {
      for (int j = 0; j < column; ++j) {
         printf(""Enter a%d%d: "", i + 1, j + 1);
         scanf(""%d"", &matrix[i][j]);
      }
   }
}

void multiplyMatrices(int first[][10], int second[][10], int result[][10], int r1, int c1, int r2, int c2) {
   for (int i = 0; i < r1; ++i) {
      for (int j = 0; j < c2; ++j) {
         result[i][j] = 0;
      }
   }
   for (int i = 0; i < r1; ++i) {
      for (int j = 0; j < c2; ++j) {
         for (int k = 0; k < c1; ++k) {
            result[i][j] += first[i][k] * second[k][j];
         }
      }
   }
}

void display(int result[][10], int row, int column) {
   printf(""\nOutput Matrix:\n"");
   for (int i = 0; i < row; ++i) {
      for (int j = 0; j < column; ++j) {
         printf(""%d  "", result[i][j]);
         if (j == column - 1)
            printf(""\n"");
      }
   }
}

int main() {
   int first[10][10], second[10][10], result[10][10], r1, c1, r2, c2;
   printf(""Enter rows and columns for the first matrix: "");
   scanf(""%d %d"", &r1, &c1);
   printf(""Enter rows and columns for the second matrix: "");
   scanf(""%d %d"", &r2, &c2);

   while (c1 != r2) {
      printf(""Error! Enter rows and columns again.\n"");
      printf(""Enter rows and columns for the first matrix: "");
      scanf(""%d%d"", &r1, &c1);
      printf(""Enter rows and columns for the second matrix: "");
      scanf(""%d%d"", &r2, &c2);
   }

   getMatrixElements(first, r1, c1);
   getMatrixElements(second, r2, c2);
   multiplyMatrices(first, second, result, r1, c1, r2, c2);
   display(result, r1, c2);

   return 0;
}"
50,C Program to Find Transpose of a Matrix,39,"To understand this example, you should have the knowledge of the following https://www.programiz.com/c-programming topics:
• https://www.programiz.com/c-programming/c-arrays
• https://www.programiz.com/c-programming/c-multi-dimensional-arrays
The transpose of a matrix is a new matrix that is obtained by exchanging the rows and columns.
In this program, the user is asked to enter the number of rows r and columns c. Their values should be less than 10 in this program.
Then, the user is asked to enter the elements of the matrix (of order r*c).

The program below then computes the transpose of the matrix and prints it on the screen.","Enter rows and columns: 2
3

Enter matrix elements:
Enter element a11: 1
Enter element a12: 4
Enter element a13: 0
Enter element a21: -5
Enter element a22: 2
Enter element a23: 7

Entered matrix:
1  4  0
-5  2  7

Transpose of the matrix:
1  -5
4  2
0  7","#include <stdio.h>
int main() {
  int a[10][10], transpose[10][10], r, c;
  printf(""Enter rows and columns: "");
  scanf(""%d %d"", &r, &c);

  // asssigning elements to the matrix
  printf(""\nEnter matrix elements:\n"");
  for (int i = 0; i < r; ++i)
  for (int j = 0; j < c; ++j) {
    printf(""Enter element a%d%d: "", i + 1, j + 1);
    scanf(""%d"", &a[i][j]);
  }

  // printing the matrix a[][]
  printf(""\nEntered matrix: \n"");
  for (int i = 0; i < r; ++i)
  for (int j = 0; j < c; ++j) {
    printf(""%d  "", a[i][j]);
    if (j == c - 1)
    printf(""\n"");
  }

  // computing the transpose
  for (int i = 0; i < r; ++i)
  for (int j = 0; j < c; ++j) {
    transpose[j][i] = a[i][j];
  }

  // printing the transpose
  printf(""\nTranspose of the matrix:\n"");
  for (int i = 0; i < c; ++i)
  for (int j = 0; j < r; ++j) {
    printf(""%d  "", transpose[i][j]);
    if (j == r - 1)
    printf(""\n"");
  }
  return 0;
}",913,"#include <stdio.h>
int main() {
  int a[10][10], transpose[10][10], r, c;
  printf(""Enter rows and columns: "");
  scanf(""%d %d"", &r, &c);

  printf(""\nEnter matrix elements:\n"");
  for (int i = 0; i < r; ++i)
    for (int j = 0; j < c; ++j) {
      printf(""Enter element a%d%d: "", i + 1, j + 1);
      scanf(""%d"", &a[i][j]);
    }

  printf(""\nEntered matrix: \n"");
  for (int i = 0; i < r; ++i)
    for (int j = 0; j < c; ++j) {
      printf(""%d  "", a[i][j]);
      if (j == c - 1)
        printf(""\n"");
    }

  for (int i = 0; i < r; ++i)
    for (int j = 0; j < c; ++j) {
      transpose[j][i] = a[i][j];
    }

  printf(""\nTranspose of the matrix:\n"");
  for (int i = 0; i < c; ++i)
    for (int j = 0; j < r; ++j) {
      printf(""%d  "", transpose[i][j]);
      if (j == r - 1)
        printf(""\n"");
    }
  return 0;
}"
51,C Program to Multiply two Matrices by Passing Matrix to a Function,66,"To understand this example, you should have the knowledge of the following C programming topics:

C Arrays
C Multidimensional Arrays
Pass arrays to a function in C
This program asks the user to enter the size of the matrix (rows and column).

Then, it asks the user to enter the elements of those matrices and finally adds and displays the result.

To perform this task three functions are made:

To takes matrix elements from user enterData()
To multiply two matrix multiplyMatrices()
To display the resultant matrix after multiplication display()","Enter rows and column for first matrix: 3
2
Enter rows and column for second matrix: 3
2
Error! column of first matrix not equal to row of second.

Enter rows and column for first matrix: 2
3
Enter rows and column for second matrix: 3
2

Enter elements of matrix 1:
Enter elements a11: 3
Enter elements a12: -2
Enter elements a13: 5
Enter elements a21: 3
Enter elements a22: 0
Enter elements a23: 4

Enter elements of matrix 2:
Enter elements b11: 2
Enter elements b12: 3
Enter elements b21: -9
Enter elements b22: 0
Enter elements b31: 0
Enter elements b32: 4

Output Matrix:
24  29","#include <stdio.h>

void enterData(int firstMatrix[][10], int secondMatrix[][10], int rowFirst, int columnFirst, int rowSecond, int columnSecond);
void multiplyMatrices(int firstMatrix[][10], int secondMatrix[][10], int multResult[][10], int rowFirst, int columnFirst, int rowSecond, int columnSecond);
void display(int mult[][10], int rowFirst, int columnSecond);

int main()
{
	int firstMatrix[10][10], secondMatrix[10][10], mult[10][10], rowFirst, columnFirst, rowSecond, columnSecond, i, j, k;

	printf(""Enter rows and column for first matrix: "");
	scanf(""%d %d"", &rowFirst, &columnFirst);

	printf(""Enter rows and column for second matrix: "");
	scanf(""%d %d"", &rowSecond, &columnSecond);

	// If colum of first matrix in not equal to row of second matrix, asking user to enter the size of matrix again.
	while (columnFirst != rowSecond)
	{
		printf(""Error! column of first matrix not equal to row of second.\n"");
		printf(""Enter rows and column for first matrix: "");
		scanf(""%d%d"", &rowFirst, &columnFirst);
		printf(""Enter rows and column for second matrix: "");
		scanf(""%d%d"", &rowSecond, &columnSecond);
	}

	// Function to take matrices data
        enterData(firstMatrix, secondMatrix, rowFirst, columnFirst, rowSecond, columnSecond);

        // Function to multiply two matrices.
        multiplyMatrices(firstMatrix, secondMatrix, mult, rowFirst, columnFirst, rowSecond, columnSecond);

        // Function to display resultant matrix after multiplication.
        display(mult, rowFirst, columnSecond);

	return 0;
}

void enterData(int firstMatrix[][10], int secondMatrix[][10], int rowFirst, int columnFirst, int rowSecond, int columnSecond)
{
	int i, j;
	printf(""\nEnter elements of matrix 1:\n"");
	for(i = 0; i < rowFirst; ++i)
	{
		for(j = 0; j < columnFirst; ++j)
		{
			printf(""Enter elements a%d%d: "", i + 1, j + 1);
			scanf(""%d"", &firstMatrix[i][j]);
		}
	}

	printf(""\nEnter elements of matrix 2:\n"");
	for(i = 0; i < rowSecond; ++i)
	{
		for(j = 0; j < columnSecond; ++j)
		{
			printf(""Enter elements b%d%d: "", i + 1, j + 1);
			scanf(""%d"", &secondMatrix[i][j]);
		}
	}
}

void multiplyMatrices(int firstMatrix[][10], int secondMatrix[][10], int mult[][10], int rowFirst, int columnFirst, int rowSecond, int columnSecond)
{
	int i, j, k;

	// Initializing elements of matrix mult to 0.
	for(i = 0; i < rowFirst; ++i)
	{
		for(j = 0; j < columnSecond; ++j)
		{
			mult[i][j] = 0;
		}
	}

	// Multiplying matrix firstMatrix and secondMatrix and storing in array mult.
	for(i = 0; i < rowFirst; ++i)
	{
		for(j = 0; j < columnSecond; ++j)
		{
			for(k=0; k<columnFirst; ++k)
			{
				mult[i][j] += firstMatrix[i][k] * secondMatrix[k][j];
			}
		}
	}
}

void display(int mult[][10], int rowFirst, int columnSecond)
{
	int i, j;
	printf(""\nOutput Matrix:\n"");
	for(i = 0; i < rowFirst; ++i)
	{
		for(j = 0; j < columnSecond; ++j)
		{
			printf(""%d  "", mult[i][j]);
			if(j == columnSecond - 1)
				printf(""\n\n"");
		}
	}
}",2945,"#include <stdio.h>

void enterData(int firstMatrix[][10], int secondMatrix[][10], int rowFirst, int columnFirst, int rowSecond, int columnSecond);
void multiplyMatrices(int firstMatrix[][10], int secondMatrix[][10], int multResult[][10], int rowFirst, int columnFirst, int rowSecond, int columnSecond);
void display(int mult[][10], int rowFirst, int columnSecond);

int main() {
    int firstMatrix[10][10], secondMatrix[10][10], mult[10][10], rowFirst, columnFirst, rowSecond, columnSecond, i, j, k;

    printf(""Enter rows and columns for the first matrix: "");
    scanf(""%d %d"", &rowFirst, &columnFirst);

    printf(""Enter rows and columns for the second matrix: "");
    scanf(""%d %d"", &rowSecond, &columnSecond);

    while (columnFirst != rowSecond) {
        printf(""Error! Column of the first matrix is not equal to the row of the second matrix.\n"");
        printf(""Enter rows and columns for the first matrix: "");
        scanf(""%d%d"", &rowFirst, &columnFirst);
        printf(""Enter rows and columns for the second matrix: "");
        scanf(""%d%d"", &rowSecond, &columnSecond);
    }

    enterData(firstMatrix, secondMatrix, rowFirst, columnFirst, rowSecond, columnSecond);

    multiplyMatrices(firstMatrix, secondMatrix, mult, rowFirst, columnFirst, rowSecond, columnSecond);

    display(mult, rowFirst, columnSecond);

    return 0;
}

void enterData(int firstMatrix[][10], int secondMatrix[][10], int rowFirst, int columnFirst, int rowSecond, int columnSecond) {
    int i, j;
    printf(""\nEnter elements of the first matrix:\n"");
    for (i = 0; i < rowFirst; ++i) {
        for (j = 0; j < columnFirst; ++j) {
            printf(""Enter element a%d%d: "", i + 1, j + 1);
            scanf(""%d"", &firstMatrix[i][j]);
        }
    }

    printf(""\nEnter elements of the second matrix:\n"");
    for (i = 0; i < rowSecond; ++i) {
        for (j = 0; j < columnSecond; ++j) {
            printf(""Enter element b%d%d: "", i + 1, j + 1);
            scanf(""%d"", &secondMatrix[i][j]);
        }
    }
}

void multiplyMatrices(int firstMatrix[][10], int secondMatrix[][10], int mult[][10], int rowFirst, int columnFirst, int rowSecond, int columnSecond) {
    int i, j, k;
    for (i = 0; i < rowFirst; ++i) {
        for (j = 0; j < columnSecond; ++j) {
            mult[i][j] = 0;
        }
    }

    for (i = 0; i < rowFirst; ++i) {
        for (j = 0; j < columnSecond; ++j) {
            for (k = 0; k < columnFirst; ++k) {
                mult[i][j] += firstMatrix[i][k] * secondMatrix[k][j];
            }
        }
    }
}

void display(int mult[][10], int rowFirst, int columnSecond) {
    int i, j;
    printf(""\nOutput Matrix:\n"");
    for (i = 0; i < rowFirst; ++i) {
        for (j = 0; j < columnSecond; ++j) {
            printf(""%d  "", mult[i][j]);
            if (j == columnSecond - 1) {
                printf(""\n\n"");
            }
        }
    }
}"
52,C Program to Access Array Elements Using Pointer,48,"To understand this example, you should have the knowledge of the following https://www.programiz.com/c-programming topics:
• https://www.programiz.com/c-programming/c-for-loop
• https://www.programiz.com/c-programming/c-arrays
• https://www.programiz.com/c-programming/c-pointers
• https://www.programiz.com/c-programming/c-pointers-arrays

In this program, the elements are stored in the integer array data[].

Then, the elements of the array are accessed using the pointer notation. By the way,
• data[0] is equivalent to *data and &data[0] is equivalent to data
• data[1] is equivalent to *(data + 1) and &data[1] is equivalent to data + 1
• data[2] is equivalent to *(data + 2) and &data[2] is equivalent to data + 2
• ...
• data[i] is equivalent to *(data + i) and &data[i] is equivalent to data + i
Visit this page to learn about the https://www.programiz.com/c-programming/c-pointers-arrays.","Enter elements: 1
2
3
5
4
You entered: 
1
2
3
5
4","#include <stdio.h>
int main() {
int data[5];
printf(""Enter elements: "");
for (int i = 0; i < 5; ++i)
scanf(""%d"", data + i);
printf(""You entered: \n"");
for (int i = 0; i < 5; ++i)
printf(""%d\n"", *(data + i));
return 0;
}",219,"#include <stdio.h>
int main() {
    int data[5];

    printf(""Enter elements: "");
    for (int i = 0; i < 5; ++i)
        scanf(""%d"", data + i);

    printf(""You entered: \n"");
    for (int i = 0; i < 5; ++i)
        printf(""%d\n"", *(data + i));
    return 0;
}"
